Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7 µF,
"C10, C11, C12, C13, C14, C3, C4, C5, C6, C7, C8, C9",0603,12,0.1 µF,
C2,0805,1,1 µF,
"D1, D2, D4, D5, D6, D7, D8",0603,7,0603 Green,
"D10, D3, D9",DIOM5226X240N,3,S1A-13-F,
"GND, T_CLK1",TestPoint_Pad_D1.0mm,2,TestPoint,
"J1, J3",PinHeader_1x03_P2.54mm_Vertical,2,WP Jumper,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J4,PinHeader_2x05_P2.54mm_Vertical,1,SERIAL0,
"J5, J6, J7",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
J8,PinHeader_2x04_P2.54mm_Vertical,1,JTAG,
"R1, R12, R14, R6, R7, R8",0603,6,3.3 K Ω,
"R10, R11, R2, R3, R4, R5, R9",0603,7,R_Small,
"R13, R15",0603,2,3.3 KΩ,
U1,SOT223_STM-M,1,LDL1117S33R,
U2,TSSOP-16_4.4x5mm_P0.65mm,1,ULN2003A,
U3,TSSOP-14_4.4x5mm_P0.65mm,1,SN74LV14A,
U4,SOT-23-5,1,AT24CS01-STUM,
U5,PQFP-132_24x24mm_P0.635mm_i386,1,I386EX_PQFP,
XA1,Arduino_Mega2560_Shield,1,Arduino_Mega2560_Shield,
