Designator,Mid X,Mid Y,Rotation,Layer
C1,124.099999,-101.448999,270.0,top
C10,162.527228,-111.568923,0.0,top
C11,163.6025,-80.151201,0.0,top
C12,175.840001,-104.567462,0.0,top
C13,175.840001,-98.99,0.0,top
C14,175.840001,-89.263147,0.0,top
C2,124.1,-97.974998,270.0,top
C3,141.089184,-102.0725,270.0,top
C4,141.089184,-98.2625,270.0,top
C5,141.089184,-93.124597,90.0,top
C6,150.9025,-111.51731,0.0,top
C7,154.5325,-80.151201,180.0,top
C8,154.7125,-111.572767,0.0,top
C9,158.9775,-80.151201,180.0,top
D1,115.572788,-77.445494,90.0,top
D10,176.75,-117.249999,0.0,top
D2,118.426666,-77.445494,90.0,top
D3,118.633411,-114.725,90.0,top
D4,121.280544,-77.445494,90.0,top
D5,124.134422,-77.445494,90.0,top
D6,126.9883,-77.445494,90.0,top
D7,129.842178,-77.445494,90.0,top
D8,132.696059,-77.445494,90.0,top
D9,174.3,-67.878684,180.0,top
J1,118.054422,-67.816719,90.0,top
J2,118.633411,-108.06,180.0,top
J3,128.265,-116.249999,90.0,top
J4,131.185321,-100.796816,0.0,top
J5,139.54,-116.242345,90.0,top
J6,141.444837,-67.903872,90.0,top
J7,183.515,-67.878684,90.0,top
J8,184.581512,-110.747437,0.0,top
R1,114.600259,-65.228756,0.0,top
R10,129.842178,-80.814044,90.0,top
R11,132.696059,-80.814044,90.0,top
R12,151.765,-67.903872,90.0,top
R13,156.845,-67.903872,90.0,top
R14,159.385,-67.903872,90.0,top
R15,176.247438,-83.103911,180.0,top
R2,115.572788,-80.814044,90.0,top
R3,118.426666,-80.814044,90.0,top
R4,121.280544,-80.814044,90.0,top
R5,124.134422,-80.814044,90.0,top
R6,124.2425,-68.86,0.0,top
R7,124.2425,-67.09,0.0,top
R8,124.2425,-65.31,0.0,top
R9,126.9883,-80.814044,90.0,top
U1,118.5489,-99.722999,90.0,top
U2,118.633411,-88.618418,0.0,top
U3,126.6775,-88.22,90.0,top
U4,130.5125,-67.904219,180.0,top
U5,156.845,-95.95,90.0,top
XA1,158.75,-96.4325,0.0,top
